Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Business Fundamentals for Customer Success Managers,"It's critical for customer success managers (CSMs) to have a solid understanding of how businesses work and how value is created and measured, yet relatively few CSMs ever receive training on this vital subject. This course can help CSMs quickly get up to speed by providing a primer on the fundamentals of business management. Learn about the connections between customer success and business awareness, the reasons why businesses exist, how businesses create value, and how expenditure and profits are calculated. Review how businesses work in terms of how they are organized, what they do, what resources they need, and what relationships they have with other entities. Plus, learn about the principles of business management, including how and why change occurs within a business and how business strategy is formulated and applied. This course can be taken on its own, or as one in a series from PracticalCSM.com that build upon each other to cover CSM best practices in greater detail.",Course,2022-03-09 17:19 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2022-10-10 11:35 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-11-13 13:14 UTC,N/A,false,N/A,
AWS Certified Solutions Architect - Associate (SAA-C02) Cert Prep: 8 Databases,"Explore the essentials of database design, implementation, and management in AWS. This course is part of a nine-part series to help you prepare for the 2020 version of the AWS Certified Solutions Architect - Associate (SAA-C02) exam. Instructor Tom Carpenter goes over key concepts and terminology, including different database types, database hosting methods, high-availability solutions for databases in AWS, and database security considerations, as well as key database solutions such as Aurora, Redshift, and DynamoDB. He then steps through an AWS database deployment, discussing how to create, configure, back up, restore, and monitor an AWS RDS database.<br><br>This Total Seminars course covers the exam certification topics. For information on additional study resources—including practice tests, lab simulations, books, and discounted exam vouchers—visit <a href=""https://www.totalsem.com/linkedin/"" target=""_blank"">totalsem.com/linkedin</a>. LinkedIn Learning members receive special pricing.<br><br>This course was created by Total Seminars. We are pleased to offer this training in our library.",Course,2022-11-09 13:26 UTC,N/A,false,N/A,
Penetration Testing Essential Training,"<p>Penetration testing is one of the best ways to see if your security will hold. It puts testers in the role of attackers, looking for vulnerabilities in your networks, computers, applications, email, and users. This course provides an introduction to the key knowledge and skills to start a program of professional penetration testing at your organization.
</p><p> 
Cybersecurity expert Malcolm Shore reviews and demonstrates the popular pen testing tools, as well as the Bash and Python scripting skills required to be able to acquire, modify, and reuse exploit code. He also provides a refresher on the Kali Linux penetration testing toolbox, approaches to web testing, and several important facets of exploit code. At the end of this course, you'll be prepared to take more advanced training and to pursue the popular Offensive Security Certified Professional (OSCP) certification.",Course,2024-07-26 14:41 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (202-450): 2 Web Services,"The LPIC-2 Linux Engineer (202-450) course is designed for IT Professionals who are seeking the LPIC-2 certification. This series of courses from ITProTV covers the skills required of any intermediate to advanced systems administrator who is tasked with supporting Linux in a production environment. This course, second in the series, focuses on web services. Learn how to install the Apache web server and configure virtual servers in Apache. Find out how to redirect URLs and enable SSL encryption in Apache. Go over what you need to know about installing the Squid proxy server, restricting server access with Squid, and enabling user authentication in Squid. Plus, explore how to implement Nginx as a web server or as a reverse proxy.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2023-03-07 16:13 UTC,N/A,false,N/A,
Learning Java 17,"<p>Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. Interested in learning how to code with Java? Join instructor Kathryn Hodge as she helps you get up and running with this popular language.</p> 
<p>Kathryn covers all the basics: data types, strings, functions, and loops. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Along the way, she provides real-world examples and introduces challenges that allow you to practice your new skills. This course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.</p>

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-02-09 16:40 UTC,N/A,false,N/A,
How to Train Your Brain For Happiness,"Train your brain for happiness! In this course, happiness professor Jay Kumar, PhD shares insights, exercises, and techniques from cutting-edge research in brain science and behavior. The series investigates the concept of happiness and introduces scientific ways of increasing happiness in your life. You can learn how to unlock the brain’s ability to build social connections and trust among teams, coworkers, customers, and other stakeholders; identify opportunities for creating deeper, more meaningful relationships; and leverage four fundamental strategies to help you promote happiness in the workplace and impact the bottom line. Plus, learn how to build enthusiasm about your company, products, and services and create passionate members of your brand or company tribe. Anyone interested in using happiness to reach their full potential in work and life—including business leaders, HR managers, and marketers—should take this course to increase their happiness quotient.<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-10-24 12:46 UTC,N/A,false,N/A,
Kali Linux for Advanced Pen Testing and Ethical Hacking,"Kali Linux is the penetration-testing professional's main tool, and includes hundreds of modules for scanning, exploitation, payloads, and post exploitation. In this course, Malcolm Shore teaches you advanced pen testing with Kali, including stealthy testing, privilege escalation, and pivoting. Learn how to use the basic toolset and extend Kali, integrating native exploits into the Metasploit environment. Find out how to generate and maintain a variety of shells, including Python and C++, and discover how to collect and use credentials. Get an introduction to the online Hack The Box and Offensive Security labs where you can practice your pen-testing skills. Malcolm details the advanced customization of exploits and achieving root access through a sustainable shell. This course covers many of the key objectives needed to pass the Offensive Security Certified Professional (OSCP) exam, and will appeal to all ethical hackers and pen testers, as well as general IT professionals.",Course,2022-09-20 10:18 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2021-11-01 10:29 UTC,N/A,false,N/A,
Securing Windows Server 2019,"Security is a vital part of any enterprise environment. In this course, follow Ed Liberman as he explains how to keep Windows Server 2019 secure. Ed dives into a variety of essential topics, including server hardening, mitigating common network threats, and securing files services. Plus, he shows how to manage privileged identities—including how to delegate privileges and configure account lockout policies—and dives into advanced audit polices.",Course,2025-05-31 15:27 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007880,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007880,Course,2020-01-24 11:11 UTC,N/A,false,N/A,
Building a Second Brain: Organize Your Digital Life (Book Bite),"<p>If you’re feeling overwhelmed by your digital life, you’re definitely not alone. It’s hard to stay focused on what really matters without having an effective personal knowledge management system. In the 2022 book <i>Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential</i>, productivity coach and best-selling author Tiago Forte explores the power and life-long benefits of developing your second brain. Tune into this audiobook summary from Next Big Idea Club to hear Tiago share five key insights from <i>Building a Second Brain</i>. Learn how to create a digital notebook to capture insights, think small to fuel the imagination, diverge and converge to solve problems creatively, distill ideas to their core essence, and start taking action to test out theories and acquire new forms of knowledge. By the end of this course, you’ll be poised to improve your creativity and productivity as well as your ability to take action.</p><p>Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.</p>",Course,2024-01-23 20:15 UTC,2024-01-23 20:14 UTC,false,N/A,
Introducing Semantic Kernel: Building AI-Based Apps,"<p>The future of AI is finally here, and it’s a gamechanger for software developers. Explore the possibilities of Semantic Kernel (SK), the new face of AI-powered development, packaged in a lightweight, easy-to-use, multilayered software development kit. Get up and running quickly with SK, the latest addition to the Microsoft AI ecosystem that enables developers to integrate LLM AI capabilities easily into their apps.</p><p>Join award-winning designer and engineer, John Maeda, and deputy CTO of Microsoft, Sam Schillace, for an overview of this exciting new release, explore its core functionalities, and find out how to get started. Bonus footage covers a couple of sample apps available in the repo and an interview with Sam to help you get up and running. By the end of this course, you’ll be ready to start tweaking your workflow using AI models to improve your efficiency and speed.</p>",Course,2023-08-22 15:54 UTC,N/A,false,N/A,
Migrate VMware Virtual Machines to AWS: Agent-Based and Agentless Strategies,"Are you a cloud SysOps admin tasked with working in an AWS environment? In this course, instructor Brien Posey guides you through the process of migrating Vmware virtual machines to AWS using the built-in Application Migration Service. Learn how to successfully prepare and configure your virtual machines, templates, and servers for migration to AWS. Along the way, explore the fundamentals of agentless and agent-based migration and learn various troubleshooting strategies.",Course,2025-03-14 11:06 UTC,N/A,false,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2023-10-03 17:09 UTC,N/A,false,N/A,
Advanced Machine Learning .NET Applications,"Take your machine learning .NET applications to the next level in this course, with software engineer Sam Nasr. Join Sam as he explores using ML.Net with other frameworks like ONNX and TensorFlow. In addition, he discusses best practices for properly collecting data for ML, source control, versioning, and common pitfalls.",Course,2025-04-03 08:52 UTC,N/A,false,N/A,
Ten Signs You're a High-Potential Employee,"Want to be part of a select group that’s really important to your organization? They’re called HiPos, or high-potential employees: people performing well in their role who are also seen as possessing the skills, characteristics, and outlook necessary to progress to higher positions, bigger in scope and complexity, more quickly. Learn ten skills leadership experts look for in identifying high-potential employees, and how to increase your skills in these areas. These skills are divided into three areas: perspective, presence, and work habits.",Course,2023-09-18 12:13 UTC,N/A,false,N/A,
Nonprofit Fundraising: A Beginner’s Guide,"Relationships are part of our daily lives, and focusing on them is a proven method for successful communication. To raise funds successfully, you need to aim for long-lasting, mutually beneficial relationships. This starts by understanding the exponential growth of the nonprofit world’s impact on donors. This course from Fundraising Academy explains how donor’s mindsets have changed with the development of watchdog organizations. Learn to embrace your selling persona and improve prospective and donor relationships with the Cause Selling Cycle. Explore ways to remain ethical in the gray areas, as well as the time management, organizational, and communication skills that you will need as prospective donors decide to partner with you and your cause. 
 <br><br>
Note: This course was created by <a href=""https://www.fundraising-academy.org/"">Fundraising Academy</a> together with <a href=""https://onlymadecraft.com"">Madecraft</a>. We are pleased to host this training in our library.",Course,2022-05-20 11:49 UTC,N/A,false,N/A,
Introduction to Prompt Engineering for Generative AI (2023),"<p>If you are a beginner looking to learn more about Natural Language Processing (NLP) capabilities or a developer wanting to get started with modern NLP APIs, this course offers a great introduction. Software developer and instructor Ronnie Sheer guides you through what large language models are and what problems they may be able to solve. Ronnie dives into text generation, starting with a warning to use text generation AI responsibly, then moving on to Chat GPT, GPT-3, and J1 with few-shot learning. He introduces you to the AI generated image landscape, then shows you how to use Dall-E and Midjourney. Plus, Ronnie goes over a couple of advanced concepts, like how to fine tune your prompts and how to interact with language models using an API.</p>",Course,2023-04-10 13:38 UTC,N/A,false,N/A,
Chair Work: Yoga Fitness and Stretching at Your Desk,"Find time for fitness. Learn simple yoga and stretching exercises you can do at your desk. The instructors at Desk Yogi have adapted traditional yoga poses into exercises that are suitable for the office. Follow along and learn basic stretches, bends, and exercises that help you improve your posture, strengthen your muscles and joints, increase blood flow, and keep you feeling strong and energetic throughout the day. This simple daily investment in your body—a program you can complete on your lunch break—will carry your through the work week and beyond.<br><br>Note: This course was created and produced by <a href=""https://www.desk-yogi.com"" target=""_blank"">Desk Yogi</a>.",Course,2022-04-05 12:19 UTC,N/A,false,N/A,
Creating a Dev Environment in AWS with Terraform,"If you work in Azure development, this course from CloudSkills.io can show you some best practices for setting up a development environment in AWS. Instructor Philip Afable introduces you to Terraform and shows you how to download and start using it. Philip covers the Lambda function, including how to set it up, write it, troubleshoot it, and update it. He explains how to create a Simple Queue Service (SQS) queue and link this new queue to your Lambda function. Philip concludes with how you can use WorkSpaces and manage regions in your development and production environments.
<br><br>
Note: This course was created by CloudSkills.io. We are pleased to host this training in our library.",Course,2022-09-28 09:58 UTC,N/A,false,N/A,
Windows Server 2025 Essential Training,"This course covers the essentials that you need to install and administer Windows Server 2025. Instructor Robert McMillen covers the key topics like choosing your server roles, different server environments, hyper-converged infrastructure, storage options, identity and access, and virtualization. He also highlights the benefits of upgrading to Server 2025, and shows how to automate installation. If you work as a system admin, IT administrator, or are looking to get into this field, join Robert in this course to learn the essentials of Windows Server 2025.",Course,2024-11-07 10:30 UTC,N/A,false,N/A,
Brad Feld on Raising Capital,"To get a business off the ground or take it to the next level, entrepreneurs often need extra cash. Venture financing, where money is raised from venture capital firms or individual investors as opposed to a public institution like a bank, is a popular avenue. But how do you decide if financing makes sense for your business? How much money do you need? And who do you ask? Brad Feld is an investor who has overseen thousands of rounds of venture financing, enabling companies like Zynga, MakerBot, and Fitbit to grow from startups to established enterprises. In this course, he walks you through the process of evaluating, finding, and securing funding for your business. Learn about the different stages of financing, the many types of investors, and different avenues of funding: traditional convertible debt and equity and newer practices such as crowdfunding and pre-sales. Brad helps you zero in on a solution that's right for your business and develop a mindset for success.",Course,2022-01-24 15:29 UTC,N/A,false,N/A,
Nonprofit Management Foundations,"Thinking about leading a nonprofit organization? Internationally renowned author Leslie Crutchfield provides a primer on nonprofit management and leadership. She explains how nonprofits are different than for-profits and the challenges and opportunities that come with leading them. In addition, she provides a comprehensive overview of how fundraising, talent recruiting and retention, governance, finance, and accounting work at a nonprofit level. She also shares her insights on how to scale both your organization and the impact your organization has on the world.",Course,2024-03-05 17:36 UTC,N/A,false,N/A,
Get It Done: Surprising Lessons from Motivation Science (Book Bite),"<p>You need to be able to motivate yourself to achieve your goals, especially during times of crisis. But how do you stay focused and get things done? Take a cue from a motivation scientist. In the 2022 book <i>Get It Done: Surprising Lessons from the Science of Motivation</i>, author and University of Chicago professor Ayelet Fishbach explores practical, scientific strategies to motivate yourself to get things done and achieve your goals in both your personal and professional life. Tune into this audiobook summary from Next Big Idea Club to hear Ayelet share five key insights from <i>Get It Done</i>. Learn how to set a meaningful goal, not just a means to a goal; find a fun path based on what matters; broaden your decision frame; start making decisions in advance; and engage in activities with other people who share the same goals as you. With these insights and much more, you’ll be prepared to get—and stay—motivated, regardless of what’s at stake.</p><p>Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.</p>",Course,2024-01-15 15:02 UTC,N/A,false,N/A,
Cybersecurity Careers: Become a Chief Information Security Officer (CISO),"Chief information security officer (CISO) has ascended to an executive role in most organizations, and all signs point to its continued prevalence in the boardroom. But the path to CISO, a role that calls for both business savvy and an aptitude for cybersecurity, is still largely undefined. In this course, instructor Jerich Beason breaks down what it takes to get hired into this unique and fast-growing position.<br><br>Jerich—who has been a CISO for five years and a consultant/advisor to new CISOs for another three—shares his hard-won advice with you. Learn about the common responsibilities and characteristics of a modern CISO, how to advocate for yourself as a strong candidate, and what to focus on in your first 90 days as CISO. Discover best practices for developing a cybersecurity strategy and building relationships. Plus, get tips for making your CEO, board, and other stakeholders feel at ease because you’re at the helm.",Course,2022-11-17 00:19 UTC,N/A,false,N/A,
Azure Network Engineer Associate (AZ-700) Cert Prep: Secure Network Connectivity to Azure Resources,"Becoming an Azure Network Engineer Associate shows you have the know-how to plan, implement, and manage Azure networking solutions—critical skills for network administrators. In this course, Microsoft Certified Trainer Derek Smith covers the section of the Azure Networking Solutions (AZ-700) exam that tests your skills on securing network connectivity to Azure resources. Join Derek as he covers the important aspects of this exam section, including how to: design, implement, and manage an Azure Firewall deployment; implement and manage network security groups (NSGs); and implement a web application firewall (WAF) deployment.",Course,2023-10-12 09:48 UTC,N/A,false,N/A,
CCSK Cert Prep: 5 Application Security and Identity Management for Cloud Computing,"Developing and managing cloud-based applications requires that security be considered in all DevOps activities. In this course, instructor Daniel Lachance teaches you about application security in the cloud and helps you prepare for the portion of the CCSK exam devoted to application security and identity management for cloud computing. Daniel begins with ways you can use identity and access management, identity federation, Amazon Web Services IAM groups, multifactor authentication (MFA), and more to manage what data is available online and how it can be accessed. He explains several facets of developing software in the cloud, then concludes with a thorough discussion of container cloud solutions, such as application containers, Azure container registries, and application load balancing.",Course,2022-07-15 11:14 UTC,N/A,false,N/A,
Strategic Negotiation,"<p>Learn negotiation skills to help you get what you want while also building better relationships with coworkers, bosses, business partners, and suppliers. In this course, leadership consultant and trainer Mike Figliuolo shares simple yet effective negotiating skills and tools. He covers the four major phases of the negotiating cycle and explains how to assess your situation, gather data, negotiate a deal, and then assess and learn from your experience. He also explains common negotiating pitfalls and what you can do to avoid them. </p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations. </p></p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-procurement-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2021-05-14 14:54 UTC,N/A,false,N/A,
Putting ITIL® into Practice: DevOps for ITIL® Practitioners,"This installment of the <em>Putting ITIL® into Practice</em> series helps ITIL® Foundation certified professionals get a practical start at applying DevOps concepts within their ITIL®-driven enterprise IT organizations as they move from traditional IT towards cloud and mobile on their journey of digital transformation. Throughout this course, instructor David Pultorak examines where DevOps and ITIL® Foundation concepts intersect in an enterprise setting. He begins by introducing DevOps for ITIL®-driven shops, including a discussion of what cloud-native DevOps and enterprise IT shops do and do not have in common. He then covers ideas on how to adapt DevOps values, principles, methods, practices, and tools to accommodate enterprise IT challenges; how to adapt each of the aspects of ITIL®-driven shops to accommodate DevOps values, principles, methods, practices, and tools.",Course,2020-04-29 21:07 UTC,N/A,false,N/A,
Entrepreneurship: Bootstrapping Your Business,"Bootstrapping—starting and growing a business without outside funding—allows founders to play by their own rules. Curious about what it takes to start your own bootstrapped business? Tune into this course to learn how.<br><br>Instructor Kim Kaupe begins by helping you determine whether bootstrapping is the right move for you. She then shows how to create a business plan and set up measurable goals. Once you have your plans in place, she covers fundamentals like managing your cash flow and spending, navigating customer acquisition at a low cost, and creating partnerships with like-minded companies. Plus, learn how your personal spending plays into your growing business, as well as how to prepare friends and family for the potential ups and downs of the entrepreneurial journey. Whether you’re a new business owner or a seasoned entrepreneur looking for new ways to leverage your capital, this course can help you set up your self-funded business for success.",Course,2022-01-04 10:04 UTC,N/A,false,N/A,
